Month,day,weekday,time,occupancy
Oct,10,Fri,18:30:04,408
Oct,10,Fri,18:45:04,450
Oct,10,Fri,19:00:09,469
Oct,10,Fri,19:15:04,471
Oct,10,Fri,19:30:04,486
Oct,10,Fri,19:45:04,523
Oct,10,Fri,20:00:07,493
Oct,10,Fri,20:15:04,492
Oct,10,Fri,20:30:05,476
Oct,10,Fri,20:45:04,482
Oct,10,Fri,21:00:07,493
Oct,10,Fri,21:15:04,486
Oct,10,Fri,21:30:05,458
Oct,10,Fri,21:45:04,432
Oct,10,Fri,22:00:04,407
Oct,10,Fri,22:15:04,376
Oct,10,Fri,22:30:04,335
Oct,10,Fri,22:45:04,307
Oct,10,Fri,23:00:05,304
Oct,10,Fri,23:15:04,318
Oct,10,Fri,23:30:06,325
Oct,10,Fri,23:45:05,320
Oct,11,Sat,00:00:06,300
Oct,11,Sat,00:15:03,284
Oct,11,Sat,00:30:05,257
Oct,11,Sat,00:45:04,224
Oct,11,Sat,01:00:05,215
Oct,11,Sat,01:15:04,161
Oct,11,Sat,01:30:04,130
Oct,11,Sat,01:45:04,74
Oct,11,Sat,02:00:05,2
Oct,11,Sat,02:15:05,0
Oct,11,Sat,02:30:07,0
Oct,11,Sat,02:45:03,0
Oct,11,Sat,03:00:05,0
Oct,11,Sat,03:15:04,0
Oct,11,Sat,03:30:05,0
Oct,11,Sat,03:45:06,0
Oct,11,Sat,04:00:35,0
Oct,11,Sat,04:15:05,0
Oct,11,Sat,04:30:06,0
Oct,11,Sat,04:45:05,0
Oct,11,Sat,05:00:06,0
Oct,11,Sat,05:15:05,0
Oct,11,Sat,05:30:04,1
Oct,11,Sat,05:45:04,1
Oct,11,Sat,06:00:06,1
Oct,11,Sat,06:15:04,1
Oct,11,Sat,06:30:04,1
Oct,11,Sat,06:45:04,1
Oct,11,Sat,07:00:04,0
Oct,11,Sat,07:15:03,0
Oct,11,Sat,07:30:05,0
Oct,11,Sat,07:45:04,0
Oct,11,Sat,08:00:04,0
Oct,11,Sat,08:15:04,0
Oct,11,Sat,08:30:04,0
Oct,11,Sat,08:45:03,0
Oct,11,Sat,09:00:06,0
Oct,11,Sat,09:15:05,0
Oct,11,Sat,09:30:04,0
Oct,11,Sat,09:45:03,0
Oct,11,Sat,10:00:05,0
Oct,11,Sat,10:15:04,0
Oct,11,Sat,10:30:04,0
Oct,11,Sat,10:45:04,0
Oct,11,Sat,11:00:09,0
Oct,11,Sat,11:15:04,0
Oct,11,Sat,11:30:05,0
Oct,11,Sat,11:45:04,0
Oct,11,Sat,12:00:03,0
Oct,11,Sat,12:15:04,0
Oct,11,Sat,12:30:08,0
Oct,11,Sat,12:45:04,0
Oct,11,Sat,13:00:05,0
Oct,11,Sat,13:15:04,0
Oct,11,Sat,13:30:05,1
Oct,11,Sat,13:45:04,5
Oct,11,Sat,14:00:07,13
Oct,11,Sat,14:15:04,141
Oct,11,Sat,14:30:04,185
Oct,11,Sat,14:45:04,226
Oct,11,Sat,15:00:07,272
Oct,11,Sat,15:15:05,259
Oct,11,Sat,15:30:06,222
Oct,11,Sat,15:45:03,288
Oct,11,Sat,16:00:03,222
Oct,11,Sat,16:15:04,215
Oct,11,Sat,16:30:04,223
Oct,11,Sat,16:45:04,217
Oct,11,Sat,17:00:05,212
Oct,11,Sat,17:15:04,228
Oct,11,Sat,17:30:05,247
Oct,11,Sat,17:45:06,263
Oct,11,Sat,18:00:03,274
Oct,11,Sat,18:15:03,278
Oct,11,Sat,18:30:07,297
Oct,11,Sat,18:45:04,311
Oct,11,Sat,19:00:08,344
Oct,11,Sat,19:15:04,365
Oct,11,Sat,19:30:04,371
Oct,11,Sat,19:45:04,389
Oct,11,Sat,20:00:05,376
Oct,11,Sat,20:15:04,354
Oct,11,Sat,20:30:06,295
Oct,11,Sat,20:45:04,218
